,Actual value,Predicted value
4796,1,1.6009734564427642
3550,0,1.834740691258073
2491,0,-0.29795061491676167
1870,0,-0.12599948199436373
4477,1,1.9774985480004248
3026,0,1.401291957809463
2593,0,0.04170142710102809
2226,0,-0.09344047035503156
1349,0,-0.16378595399663887
3534,0,8.346959398305787
4259,0,1.4645312414149947
5151,0,1.826967593884719
1200,1,0.5402075493826564
4359,0,1.909112450492339
5844,0,1.4763808196995196
3076,0,1.4509820577799197
5517,0,1.7421485252401432
1560,1,-0.09412489402312563
1784,0,0.15604636284590612
1955,2,0.42231584754639373
2956,11,3.5440281213989344
47,0,-0.4376006762381046
2815,12,10.443890092160908
5423,0,1.5328547303548472
2905,0,-0.44977553792859304
1282,0,0.07684028315355906
5312,0,1.8999853364102384
779,8,2.4257730771044352
159,0,0.03386198253535877
4157,1,1.5212775247545638
4851,0,1.2485661097651404
2069,0,-0.11171737585913544
2923,2,0.026123804736907452
1535,2,0.7502013784504813
4632,1,1.3815258652278901
4749,0,1.4202289004139201
6,0,-0.17082704027369
5992,0,1.5026360891514519
260,0,-0.29607543374448353
1023,0,0.4944775758727644
985,0,1.0066288842588973
5288,0,1.8575120498534456
3601,9,5.821009237680953
867,2,1.2615223303735172
3062,0,1.4514634165542102
5105,0,1.8743999914370715
5867,0,1.4592807038696387
4393,0,1.8398778073141164
2375,0,0.28878763429335175
5336,1,2.092816677166354
361,0,-0.45137432309977177
2472,1,-0.21540136538620147
2144,7,6.9898215518830025
5604,0,1.5531612983214527
3280,0,1.839412399020695
2418,0,0.03216430270102544
4118,1,1.7494840652084767
2889,0,6.772820946394829
73,0,-0.48131436662139704
663,52,7.29928187430796
3421,0,2.3738171364402127
1720,0,-0.026031342918263256
1287,0,0.8728821013386785
5898,0,1.9416431284902722
4702,2,1.330349500751903
1876,2,0.6439889355360009
358,0,-0.0039323656772396465
1638,1,6.163218754866751
2421,1,0.5503158567741879
5343,0,2.121212516559825
1973,6,1.392470386883756
4603,0,1.731412796623495
4528,0,1.4448297600414217
1654,0,0.42811623560433354
3361,0,1.821459410402535
2441,0,0.07616628861259889
4624,6,1.9032673982676478
4868,1,1.7420546889757524
3727,1,2.0273167876792866
2734,0,-0.24224440354992716
2107,0,-0.0631626934323859
5259,0,2.1163976385401027
3259,1,1.8634058112208063
4436,0,1.4770757192400845
2922,0,-0.5002029722888663
387,0,-0.4520936663427686
5325,0,1.8929745484884997
5910,5,2.7253270032974983
100,0,0.09628453754132171
388,5,7.033230672928365
1075,22,10.62310032607101
5432,0,1.7279209239047395
2735,0,-0.21031872649315453
4779,0,1.1778052344970749
375,2,-0.06704479132286534
5900,0,1.478713447303024
3788,1,2.9866518761917558
3620,0,1.893284269986399
5297,2,3.098604821055794
754,1,0.5056728487212796
623,33,25.18817428685312
5558,0,1.698649381207169
1515,0,-0.093433486440051
4913,0,1.3776927586223024
442,0,-0.4190889744215007
800,0,0.49875771017179815
4657,3,1.928098480422916
1366,0,0.11490275317545673
1237,0,-0.09408997444822287
5251,0,2.085722082264849
1718,0,-0.07446001107407962
2821,1,0.5188224235287575
5674,0,1.7954802055135897
5557,0,1.980976006301372
5935,1,1.4752548153095475
1650,6,8.226435931648018
1446,0,-0.09064743572217848
1688,1,0.19151933735343096
377,23,9.127140146471572
3967,0,1.4915461635217033
1224,1,0.6198718535321897
1510,1,0.16904426378536463
5755,0,1.7565681842375112
3847,0,1.976823784152658
2569,0,-0.36639981432626456
264,0,-0.45359171610609694
1057,1,0.7568253456450793
5857,4,2.1631209706617076
5100,0,1.8743999914370715
1508,1,6.012634329861612
735,0,0.431057099050542
4778,0,1.2131105950450665
5765,6,11.655219953373177
1975,0,-0.06623888042323456
5010,0,2.1318264732521603
2642,0,-0.10901812035598124
5883,0,1.7530173948292678
4247,1,1.9793366841603293
5385,0,8.00301074633402
5275,0,1.8358755774424127
3340,1,2.3301573623626854
1086,0,0.46356001181194584
3771,0,1.4787204312180044
4069,1,1.9918832874228904
3338,0,2.1044325409656226
4908,0,1.163640488396497
1742,0,-0.061577648533083895
2729,0,-0.14292007492885705
4618,0,1.156322408215614
5024,3,2.441870916330913
4513,0,1.2016131731076913
2512,1,-0.5167442986771036
5173,0,1.8534758783540548
5472,0,2.2860761536454337
937,3,0.24217279011186488
4395,0,1.7276453059296002
4987,5,2.570765363560506
4940,0,1.3197425279745483
1892,0,-0.09679624150318666
1948,15,6.65219560487955
2180,2,0.6832442313648626
1550,0,-0.08678586209730144
5106,3,2.345749541050827
2455,4,0.5388907032253729
5882,0,1.9774706123405026
2004,0,-0.09348935775989542
4678,53,36.78501076907439
618,0,0.2753117704958665
2241,0,0.13576152465020241
969,2,0.7737667293097945
5985,0,1.7351901166807586
2119,3,1.6381859059951962
1145,0,0.2745521178410897
5568,0,1.725420682341702
3970,0,1.4676474340163397
342,4,3.2318243080179316
5993,3,3.2246568493633827
2081,0,-0.09371284303927307
5810,0,1.4964394586843155
3268,4,1.6149099159211469
146,0,-0.43687434908012723
543,0,0.02588984358505897
3401,2,2.5265999947663147
2954,0,-0.3175477841534735
4539,0,1.1778052344970749
4169,0,1.4805644885741538
4357,0,1.8518039619968354
734,0,0.23319656148246892
2571,0,0.00421892582379968
1296,0,-0.08990714073424
1780,0,0.043825115359820366
