,tweed_id,hashtag,time_in_day,tweet_length,is_user_verified,user_followers,user_followers_group,tweet_likes,tweet_has_media_attached,is_popular,retweet_count
1340,1408138459139739652,1,2,140,1,27253,3,21,0,0,8
1341,1408138256252866578,1,2,113,0,166,1,2,0,0,2
1342,1408138246962438148,1,2,136,0,273,1,0,0,0,0
1343,1408138169862721537,1,2,144,0,133,1,0,0,0,0
1344,1408137981068775424,1,2,140,0,565,1,7,0,0,5
1345,1408137972290043912,1,2,139,0,273,1,1,0,0,0
1346,1408137918779072512,1,2,140,0,334,1,0,0,0,0
1347,1408137902706597893,1,2,138,0,4367,2,0,0,0,0
1348,1408137854694432769,1,2,140,1,131028,3,80,0,1,21
1349,1408137685022171139,1,2,140,0,20148,3,0,0,0,0
1350,1408137638163349507,1,2,140,0,13,1,0,0,0,0
1351,1408137403869454336,1,2,140,0,13,1,0,0,0,0
1352,1408136945541083137,1,2,140,0,138,1,0,0,0,0
1353,1408136892084899840,1,2,113,1,60401,3,10,0,0,3
1354,1408136850296999939,1,2,140,1,5945,3,3,0,0,1
1355,1408136221751136264,1,2,133,0,8511,3,1,0,0,0
1356,1408136038321508352,1,2,133,0,785,1,0,0,0,0
1357,1408135950358790148,1,2,135,0,514,1,0,0,0,1
1358,1408135844444229635,1,2,136,0,5348,3,0,1,0,0
1359,1408135637656555525,1,2,140,0,3661,2,0,0,0,1
1360,1408135534736728068,1,2,139,0,8619,3,3,0,0,1
1361,1408135432626388995,1,2,137,0,429,1,0,0,0,0
1362,1408135273737773060,1,2,140,1,72807,3,0,0,0,1
1363,1408135250543214593,1,2,140,0,3937,2,6,0,0,3
1364,1408135187150610436,1,2,140,0,1116,2,13,0,0,2
1365,1408135153168363523,1,2,88,0,11847,3,8,0,0,3
1366,1408135132108656642,1,2,144,0,7723,3,1,0,0,0
1367,1408135083073101835,1,2,131,0,5,1,0,0,0,0
1368,1408134883181051906,1,2,130,0,2900,2,0,0,0,0
1369,1408134780877692931,1,2,131,0,17446,3,3,0,0,0
1370,1408134732467036163,1,2,140,0,222,1,0,0,0,0
1371,1408134521590059012,1,2,58,0,733,1,0,0,0,0
1372,1408134257202053120,1,2,140,0,2664,2,2,0,0,2
1373,1408134119117279234,1,2,140,1,121216,3,2,0,0,0
1374,1408134075899019268,1,2,140,0,65517,3,0,0,0,0
1375,1408133938581671938,1,2,107,0,1506,2,0,0,0,0
1376,1408133779428937731,1,2,140,0,3655,2,3,0,0,0
1377,1408133265094057990,1,2,140,0,2079,2,0,0,0,0
1378,1408133175117815810,1,2,140,0,143,1,0,0,0,0
1379,1408133120839372807,1,2,139,0,403,1,0,0,0,0
1380,1408133011485376513,1,2,140,1,35933,3,52,0,0,4
1381,1408132838545842176,1,2,140,1,121216,3,0,0,0,3
1382,1408132606743388160,1,2,136,0,134,1,0,0,0,0
1383,1408132480335585283,1,2,140,1,20000,3,2,0,0,0
1384,1408132368720875523,1,2,98,0,415,1,0,0,0,0
1385,1408132340933697549,1,2,136,0,6,1,0,0,0,0
1386,1408132287611428867,1,2,140,1,85755,3,17,0,0,3
1387,1408132032341946372,1,2,40,0,329,1,0,1,0,0
1388,1408131764015570952,1,2,140,0,1116,2,19,0,1,13
1389,1408131707333746689,1,2,124,0,3749,2,1,0,0,0
1390,1408131617164599296,1,2,78,0,143,1,0,0,0,0
1391,1408131574818816009,1,2,130,1,121216,3,4,0,0,4
1392,1408131520171106304,1,2,137,0,134,1,2,0,0,2
1393,1408131421722529805,1,2,140,0,539,1,1,0,0,0
1394,1408131262561374215,1,2,85,0,8511,3,4,0,0,1
1395,1408131144374272002,1,2,139,0,11,1,0,0,0,0
1396,1408131006431961089,1,2,125,0,673,1,0,0,0,0
1397,1408130962307878917,1,2,140,0,613,1,0,0,0,0
1398,1408130896398585861,1,2,72,0,17446,3,1,0,0,1
1399,1408130761107120132,1,2,84,0,17446,3,2,0,0,2
1400,1408130629909237763,1,2,125,0,91547,3,0,0,0,0
1401,1408130430767878144,1,2,139,0,613,1,0,0,0,0
1402,1408130361603903490,1,2,83,1,155578,3,13,0,0,7
1403,1408130350950268933,1,2,75,0,370,1,0,0,0,0
1404,1408130304422809601,1,2,140,1,23262,3,1,0,0,0
1405,1408130265797611528,1,2,140,0,15,1,0,0,0,0
1406,1408130201888899074,1,2,133,0,3967,2,9,0,0,0
1407,1408130201788239879,1,2,140,0,586,1,2,0,0,1
1408,1408130200974598159,1,2,139,0,1568,2,0,0,0,0
1409,1408130172008730624,1,2,139,0,6802,3,6,0,0,3
1410,1408130128589340673,1,2,138,0,42305,3,0,0,0,0
1411,1408130103599669255,1,2,125,0,76,1,0,0,0,0
1412,1408130006979592195,1,2,140,0,34,1,0,0,0,0
1413,1408129975342047237,1,2,95,0,1805,2,0,0,0,0
1414,1408129795708309510,1,2,134,0,1115,2,2,0,0,2
1415,1408129757196210190,1,2,86,0,57,1,0,0,0,0
1416,1408129753706598405,1,2,135,0,267,1,0,0,0,0
1417,1408129241300955136,1,2,140,0,51,1,0,0,0,0
1418,1408129030424076291,1,2,140,0,8476,3,0,0,0,0
1419,1408128889206067201,1,2,139,0,1445,2,0,0,0,0
1420,1408128727133863937,1,2,140,0,411,1,1,0,0,0
1421,1408128557704830979,1,2,140,0,239,1,0,0,0,0
1422,1408128429778640896,1,2,140,1,7541,3,2,0,0,2
1423,1408128290557202433,1,2,140,0,5930,3,0,0,0,0
1424,1408128289122799629,1,2,140,0,193,1,2,0,0,1
1425,1408127784682094593,1,2,140,1,167355,3,1,0,0,2
1426,1408127623163781123,1,2,140,1,1052,2,1,0,0,0
1427,1408127585003974656,1,2,140,0,1216,2,1,0,0,0
1428,1408127570533564423,1,2,126,0,2068,2,2,0,0,0
1429,1408127569275334669,1,2,140,0,181,1,0,0,0,0
1430,1408127449792090113,1,2,135,0,58,1,0,0,0,0
1431,1408127340299776009,1,2,128,0,24273,3,1,0,0,0
1432,1408127248956338181,1,2,140,0,7873,3,27,0,1,12
1433,1408127215246663690,1,2,107,0,5892,3,12,0,0,8
1434,1408127195319468033,1,2,140,1,7541,3,5,0,0,2
1435,1408126991694401540,1,2,138,0,1545,2,1,0,0,1
1436,1408126647920889860,1,2,140,0,219,1,0,0,0,0
1437,1408126509966036999,1,2,140,1,106295,3,104,0,1,38
1438,1408126495839690752,1,2,58,0,2774,2,4,0,0,1
1439,1408126418408574985,1,2,140,0,219,1,0,0,0,0
1440,1408126374464815106,1,2,140,0,1427,2,0,0,0,1
1441,1408126332660109317,1,2,138,0,145,1,0,0,0,0
1442,1408126274694881281,1,2,111,0,8872,3,0,0,0,2
1443,1408126231577518082,1,2,140,0,813,1,0,0,0,0
1444,1408126171326394374,1,2,88,0,1314,2,0,0,0,0
1445,1408126019593179140,1,2,140,0,242,1,3,0,0,3
1446,1408125970268278790,1,2,139,0,219,1,0,0,0,0
1447,1408125949716090884,1,2,144,0,5666,3,4,0,0,0
1448,1408125801883586560,1,2,57,0,98,1,0,0,0,0
1449,1408125307706564613,1,2,134,0,149,1,0,0,0,0
1450,1408125306494455813,1,2,92,0,149,1,0,0,0,0
1451,1408125305336762373,1,2,97,0,149,1,0,0,0,0
1452,1408125303298441220,1,2,104,0,149,1,0,0,0,0
1453,1408125301217955840,1,2,120,0,149,1,0,0,0,0
1454,1408125299498307592,1,2,121,0,149,1,0,0,0,0
1455,1408125297510207491,1,2,131,0,149,1,0,0,0,0
1456,1408125295333347328,1,2,115,0,149,1,0,0,0,0
1457,1408125293152321545,1,2,120,0,149,1,0,0,0,0
1458,1408125291344633863,1,2,130,0,149,1,0,0,0,0
1459,1408125276865896451,1,2,105,0,2965,2,0,0,0,0
1460,1408124950981103622,1,2,140,0,219,1,0,0,0,0
1461,1408123970252124162,1,2,132,0,1277,2,0,0,0,0
1462,1408123878585425923,1,2,136,0,334,1,0,0,0,0
1463,1408123841935781889,1,2,121,0,169,1,0,0,0,0
1464,1408123729595539458,1,2,140,0,219,1,5,0,0,0
1465,1408123720141393920,1,2,139,0,205,1,0,0,0,0
1466,1408123655389782018,1,2,131,0,626,1,0,0,0,4
1467,1408123608275329027,1,2,140,0,468,1,1,0,0,0
1468,1408123506529759245,1,2,130,0,258312,3,0,0,0,1
1469,1408123463030784007,1,2,136,0,679,1,1,0,0,0
1470,1408122934934265861,1,2,139,0,2423,2,0,0,0,0
1471,1408122930576465925,1,2,139,0,525,1,0,0,0,0
1472,1408122922305155074,1,2,140,0,8,1,0,0,0,0
1473,1408122918928891907,1,2,139,0,8864,3,2,0,0,2
1474,1408122853925416960,1,2,132,0,13,1,0,0,0,0
1475,1408122755539783682,1,2,140,0,65517,3,0,0,0,0
1476,1408122754025590789,1,2,140,0,19292,3,0,0,0,0
1477,1408122360956346377,1,2,140,0,2307,2,1,0,0,1
1478,1408122243025195017,1,2,140,1,4119,2,13,0,1,15
1479,1408122036904357888,1,2,135,0,138,1,0,0,0,0
1480,1408121998815817730,1,2,138,0,138,1,0,0,0,0
1481,1408121754745192454,1,2,97,0,149,1,0,0,0,0
1482,1408121741122097153,1,2,92,0,7793,3,1,0,0,1
1483,1408121464453206038,1,2,128,0,1517,2,4,0,0,1
1484,1408121424825495552,1,2,136,0,103,1,0,0,0,0
1485,1408121383842762757,1,2,135,0,138,1,0,0,0,0
1486,1408121201193533447,1,2,39,0,244,1,0,0,0,0
1487,1408121014890938373,1,2,124,1,80466,3,1,0,0,0
1488,1408120699655438340,1,2,50,0,449,1,0,0,0,0
1489,1408120498240753671,1,2,118,0,149,1,0,0,0,0
1490,1408120234888679427,1,2,69,1,141467,3,0,0,0,0
1491,1408120140651274248,1,2,139,0,1196,2,0,0,0,0
1492,1408120119918665728,1,2,135,0,4205,2,0,0,0,0
1493,1408120113723809804,1,2,140,0,1728,2,0,0,0,0
1494,1408119714145001478,1,2,131,0,3975,2,2,0,0,1
1495,1408119674580127756,1,2,140,0,108,1,4,0,0,1
